"fips","Urban_Code"
5105,"Medium metro"
5107,"Micropolitan"
5109,"Noncore"
5111,"Small metro"
5113,"Noncore"
5115,"Micropolitan"
5117,"Noncore"
5119,"Medium metro"
5121,"Noncore"
5123,"Micropolitan"
5125,"Medium metro"
5127,"Noncore"
5129,"Noncore"
5131,"Medium metro"
5133,"Noncore"
5135,"Noncore"
5137,"Noncore"
5139,"Micropolitan"
5141,"Noncore"
5143,"Medium metro"
5145,"Micropolitan"
5147,"Noncore"
5149,"Micropolitan"
4001,"Noncore"
4003,"Small metro"
4005,"Small metro"
4007,"Micropolitan"
4009,"Micropolitan"
4012,"Noncore"
4013,"Large central metro"
4015,"Small metro"
4017,"Micropolitan"
4019,"Medium metro"
4021,"Large fringe metro"
4023,"Micropolitan"
4025,"Small metro"
4027,"Small metro"
6001,"Large central metro"
6005,"Noncore"
6007,"Small metro"
6009,"Noncore"
6011,"Noncore"
6013,"Large fringe metro"
6015,"Micropolitan"
6017,"Large fringe metro"
6019,"Medium metro"
6021,"Noncore"
6023,"Micropolitan"
6025,"Small metro"
6027,"Noncore"
6029,"Medium metro"
6031,"Small metro"
6033,"Micropolitan"
6035,"Micropolitan"
6037,"Large central metro"
6039,"Small metro"
6041,"Large fringe metro"
6043,"Noncore"
6045,"Micropolitan"
6047,"Medium metro"
6049,"Noncore"
6051,"Noncore"
6053,"Medium metro"
6055,"Small metro"
6057,"Micropolitan"
6059,"Large central metro"
6061,"Large fringe metro"
6063,"Noncore"
6065,"Large central metro"
6067,"Large central metro"
6069,"Large fringe metro"
6071,"Large fringe metro"
6073,"Large central metro"
6075,"Large central metro"
6077,"Medium metro"
6079,"Medium metro"
6081,"Large fringe metro"
6083,"Medium metro"
6085,"Large central metro"
6087,"Medium metro"
6089,"Small metro"
6093,"Noncore"
6095,"Medium metro"
6097,"Medium metro"
6099,"Medium metro"
6101,"Small metro"
6103,"Micropolitan"
6105,"Noncore"
6107,"Medium metro"
6109,"Micropolitan"
6111,"Medium metro"
6113,"Large fringe metro"
6115,"Small metro"
8001,"Large fringe metro"
8003,"Noncore"
8005,"Large fringe metro"
8007,"Noncore"
8009,"Noncore"
8011,"Noncore"
8013,"Medium metro"
8014,"Large fringe metro"
8015,"Noncore"
8017,"Noncore"
8019,"Large fringe metro"
8021,"Noncore"
8025,"Noncore"
8027,"Noncore"
8029,"Noncore"
8031,"Large central metro"
8035,"Large fringe metro"
8037,"Micropolitan"
8039,"Large fringe metro"
8041,"Medium metro"
8043,"Micropolitan"
8045,"Micropolitan"
8047,"Large fringe metro"
8049,"Noncore"
8051,"Noncore"
8055,"Noncore"
8059,"Large fringe metro"
8063,"Noncore"
8065,"Noncore"
8067,"Micropolitan"
8069,"Medium metro"
8071,"Noncore"
